Country,Happiness
Tanzania,3.504 
El Salvador,3.467 
Venezuela,3.450 
Iceland,3.436 
Nigeria,3.431 
Northern Ireland,3.415 
Canada,3.404 
Denmark,3.394 
Puerto Rico,3.385 
Ireland,3.380 
Trinidad & Tobago,3.368 
Netherlands,3.355 
Saudi Arabia,3.352 
Switzerland,3.350 
Sweden,3.339 
United States,3.338 
Belgium,3.331 
Colombia,3.327 
Australia,3.325 
Thailand,3.324 
Great Britain,3.317 
New Zealand,3.311 
Malaysia,3.311 
Luxembourg,3.292 
Philippines,3.287 
Norway,3.281 
Austria,3.255 
Vietnam,3.252 
France,3.249 
Ghana,3.245 
Mexico,3.240 
Singapore,3.233 
Guatemala,3.231 
Cyprus,3.214 
Mali,3.203 
Andorra,3.200 
Japan,3.197 
Finland,3.179 
Indonesia,3.174 
Turkey,3.160 
Malta,3.159 
Brazil,3.149 
Argentina,3.138 
Chile,3.105 
Taiwan,3.099 
South Africa,3.076 
Italy,3.071 
Uruguay,3.066 
Poland,3.065 
Spain,3.053 
Dominican Republic,3.051 
Morocco,3.040 
Kyrgyzstan,3.040 
Jordan,3.030 
Uganda,3.029 
Israel,3.018 
Germany,3.012 
Burkina Faso,3.006 
India,3.006 
Portugal,3.004 
Egypt,2.984 
South Korea,2.983 
Algeria,2.964 
Pakistan,2.963 
China,2.961 
Bangladesh,2.959 
Rwanda,2.951 
Bosnia & Herzegovina,2.946 
Peru,2.935 
Greece,2.914 
Slovenia,2.910 
Hong Kong,2.904 
Czech Republic,2.904 
Iran,2.882 
Ethiopia,2.882 
Azerbaijan,2.880 
Hungary,2.880 
Serbia & Montenegro,2.819 
Macedonia,2.817 
Zambia,2.776 
Croatia,2.754 
Slovakia,2.748 
Georgia,2.734 
Latvia,2.726 
Serbia,2.690 
Zimbabwe,2.660 
Estonia,2.643 
Russia,2.624 
Bulgaria,2.589 
Lithuania,2.564 
Armenia,2.554 
Romania,2.553 
Ukraine,2.549 
Iraq,2.532 
Moldova,2.470 
Albania,2.430 
Belarus,2.416 
