country,year,happiness_rank,happiness_score
Switzerland,2015,1,7.587
Iceland,2015,2,7.561
Denmark,2015,3,7.527
Norway,2015,4,7.522
Canada,2015,5,7.427
Finland,2015,6,7.406
Netherlands,2015,7,7.378
Sweden,2015,8,7.364
New Zealand,2015,9,7.286
Australia,2015,10,7.284
Israel,2015,11,7.278
Costa Rica,2015,12,7.226
Austria,2015,13,7.2
Mexico,2015,14,7.187
United States,2015,15,7.119
Brazil,2015,16,6.983
Luxembourg,2015,17,6.946
Ireland,2015,18,6.94
Belgium,2015,19,6.937
United Arab Emirates,2015,20,6.901
United Kingdom,2015,21,6.867
Oman,2015,22,6.853
Venezuela,2015,23,6.81
Singapore,2015,24,6.798
Panama,2015,25,6.786
Germany,2015,26,6.75
Chile,2015,27,6.67
Qatar,2015,28,6.611
France,2015,29,6.575
Argentina,2015,30,6.574
Czech Republic,2015,31,6.505
Uruguay,2015,32,6.485
Colombia,2015,33,6.477
Thailand,2015,34,6.455
Saudi Arabia,2015,35,6.411
Spain,2015,36,6.329
Malta,2015,37,6.302
Taiwan,2015,38,6.298
Kuwait,2015,39,6.295
Suriname,2015,40,6.269
Trinidad and Tobago,2015,41,6.168
El Salvador,2015,42,6.13
Guatemala,2015,43,6.123
Uzbekistan,2015,44,6.003
Slovakia,2015,45,5.995
Japan,2015,46,5.987
South Korea,2015,47,5.984
Ecuador,2015,48,5.975
Bahrain,2015,49,5.96
Italy,2015,50,5.948
Bolivia,2015,51,5.89
Moldova,2015,52,5.889
Paraguay,2015,53,5.878
Kazakhstan,2015,54,5.855
Slovenia,2015,55,5.848
Lithuania,2015,56,5.833
Nicaragua,2015,57,5.828
Peru,2015,58,5.824
Belarus,2015,59,5.813
Poland,2015,60,5.791
Malaysia,2015,61,5.77
Croatia,2015,62,5.759
Libya,2015,63,5.754
Russia,2015,64,5.716
Jamaica,2015,65,5.709
Cyprus,2015,66,5.695
Cyprus,2015,67,5.689
Algeria,2015,68,5.605
Kosovo,2015,69,5.589
Turkmenistan,2015,70,5.548
Mauritius,2015,71,5.477
Hong Kong,2015,72,5.474
Estonia,2015,73,5.429
Indonesia,2015,74,5.399
Vietnam,2015,75,5.36
Turkey,2015,76,5.332
Kyrgyzstan,2015,77,5.286
Nigeria,2015,78,5.268
Bhutan,2015,79,5.253
Azerbaijan,2015,80,5.212
Pakistan,2015,81,5.194
Jordan,2015,82,5.192
Montenegro,2015,82,5.192
China,2015,84,5.14
Zambia,2015,85,5.129
Romania,2015,86,5.124
Serbia,2015,87,5.123
Portugal,2015,88,5.102
Latvia,2015,89,5.098
Philippines,2015,90,5.073
Somaliland region,2015,91,5.057
Morocco,2015,92,5.013
North Macedonia,2015,93,5.007
Mozambique,2015,94,4.971
Albania,2015,95,4.959
Bosnia and Herzegovina,2015,96,4.949
Lesotho,2015,97,4.898
Dominican Republic,2015,98,4.885
Laos,2015,99,4.876
Mongolia,2015,100,4.874
Swaziland,2015,101,4.867
Greece,2015,102,4.857
Lebanon,2015,103,4.839
Hungary,2015,104,4.8
Honduras,2015,105,4.788
Tajikistan,2015,106,4.786
Tunisia,2015,107,4.739
Palestinian Territories,2015,108,4.715
Bangladesh,2015,109,4.694
Iran,2015,110,4.686
Ukraine,2015,111,4.681
Iraq,2015,112,4.677
South Africa,2015,113,4.642
Ghana,2015,114,4.633
Zimbabwe,2015,115,4.61
Liberia,2015,116,4.571
India,2015,117,4.565
Sudan,2015,118,4.55
Haiti,2015,119,4.518
Congo,2015,120,4.517
Nepal,2015,121,4.514
Ethiopia,2015,122,4.512
Sierra Leone,2015,123,4.507
Mauritania,2015,124,4.436
Kenya,2015,125,4.419
Djibouti,2015,126,4.369
Armenia,2015,127,4.35
Botswana,2015,128,4.332
Myanmar,2015,129,4.307
Georgia,2015,130,4.297
Malawi,2015,131,4.292
Sri Lanka,2015,132,4.271
Cameroon,2015,133,4.252
Bulgaria,2015,134,4.218
Egypt,2015,135,4.194
Yemen,2015,136,4.077
Angola,2015,137,4.033
Mali,2015,138,3.995
Congo,2015,139,3.989
Comoros,2015,140,3.956
Uganda,2015,141,3.931
Senegal,2015,142,3.904
Gabon,2015,143,3.896
Niger,2015,144,3.845
Cambodia,2015,145,3.819
Tanzania,2015,146,3.781
Madagascar,2015,147,3.681
Central African Republic,2015,148,3.678
Chad,2015,149,3.667
Guinea,2015,150,3.656
Ivory Coast,2015,151,3.655
Burkina Faso,2015,152,3.587
Afghanistan,2015,153,3.575
Rwanda,2015,154,3.465
Benin,2015,155,3.34
Syria,2015,156,3.006
Burundi,2015,157,2.905
Togo,2015,158,2.839
Denmark,2016,1,7.526
Switzerland,2016,2,7.509
Iceland,2016,3,7.501
Norway,2016,4,7.498
Finland,2016,5,7.413
Canada,2016,6,7.404
Netherlands,2016,7,7.339
New Zealand,2016,8,7.334
